timestamp,raw_x,raw_y,kal_x,kal_y,odom_x,odom_y
1765029434,4.034,2.412,4.215,2.411,3.803,2.722
1765029434,3.911,2.388,4.104,2.405,3.693,2.706
1765029435,3.65,2.485,3.947,2.424,3.584,2.685
1765029435,3.559,2.427,3.796,2.426,3.518,2.675
1765029435,3.397,2.364,3.632,2.411,3.406,2.656
1765029436,3.342,2.348,3.488,2.394,3.294,2.637
1765029436,3.276,2.352,3.358,2.381,3.163,2.614
1765029436,3.174,2.345,3.233,2.368,3.057,2.597
1765029437,3.112,2.3,3.121,2.346,2.941,2.578
1765029437,2.982,2.276,3.004,2.322,2.876,2.567
1765029438,2.861,2.235,2.886,2.291,2.764,2.545
1765029438,2.744,2.222,2.767,2.263,2.641,2.525
1765029438,2.569,2.192,2.632,2.233,2.529,2.508
1765029439,2.365,2.119,2.478,2.191,2.403,2.488
1765029439,2.442,2.228,2.378,2.184,2.284,2.471
1765029442,1.067,2.025,1.238,2.073,1.332,2.32
1765029443,0.957,1.995,1.072,2.041,1.236,2.304
1765029443,1.068,2.125,0.973,2.049,1.154,2.291
1765029443,1.128,2.139,0.919,2.061,1.071,2.278
1765029444,1.036,2.151,0.862,2.076,1.042,2.275
1765029444,0.829,1.984,0.774,2.047,0.984,2.266
1765029445,0.809,1.956,0.705,2.016,0.937,2.257
1765029445,0.745,1.889,0.642,1.974,0.923,2.255
1765029445,0.738,1.927,0.597,1.948,0.927,2.256
1765029446,0.886,2.006,0.607,1.949,0.929,2.255
1765029446,0.976,2.094,0.648,1.975,0.92,2.264
1765029446,0.941,2.012,0.682,1.977,0.917,2.266
1765029447,0.996,2.028,0.731,1.984,0.916,2.268
1765029447,0.929,1.944,0.761,1.97,0.915,2.268
1765029447,0.899,1.915,0.781,1.95,0.912,2.269
1765029448,0.991,1.953,0.825,1.945,0.912,2.267
1765029448,0.751,1.654,0.802,1.864,0.913,2.267
1765029449,0.864,1.77,0.812,1.825,0.914,2.263
1765029449,0.867,1.8,0.822,1.803,0.915,2.264
1765029449,0.877,1.765,0.834,1.776,0.914,2.276
1765029450,0.839,1.786,0.834,1.762,0.91,2.301
1765029450,0.82,1.763,0.83,1.746,0.907,2.342
1765029450,0.822,1.839,0.827,1.755,0.906,2.363
1765029451,0.835,1.861,0.828,1.77,0.902,2.425
1765029451,0.943,1.852,0.857,1.782,0.9,2.502
1765029451,0.999,1.913,0.896,1.81,0.895,2.588
1765029452,1.017,1.93,0.933,1.839,0.89,2.696
1765029452,1.016,2.024,0.964,1.888,0.888,2.807
1765029453,0.986,2.114,0.981,1.953,0.884,2.859
1765029453,0.977,2.316,0.992,2.059,0.879,2.979
1765029453,0.979,2.532,1,2.203,0.874,3.084
1765029454,1.079,2.715,1.031,2.37,0.871,3.206
1765029454,0.993,2.78,1.033,2.523,0.869,3.304
1765029454,0.917,2.918,1.014,2.683,0.866,3.417
1765029455,0.919,3.1,0.997,2.857,0.861,3.486
1765029460,0.916,4.555,0.94,4.557,0.796,4.98
1765029460,0.862,4.75,0.919,4.699,0.787,5.101
1765029460,0.839,4.762,0.895,4.809,0.785,5.215
1765029461,0.906,4.845,0.893,4.911,0.778,5.347
1765029461,0.976,4.899,0.909,4.998,0.774,5.461
1765029462,0.961,5.01,0.92,5.087,0.771,5.588
1765029462,0.982,5.135,0.935,5.183,0.764,5.676
1765029463,0.968,5.209,0.945,5.271,0.761,5.767
1765029463,0.98,5.244,0.956,5.343,0.758,5.825
1765029463,0.943,5.332,0.955,5.416,0.754,5.882
1765029464,0.963,5.402,0.96,5.484,0.753,5.938
1765029464,0.913,5.422,0.95,5.537,0.751,5.974
1765029465,0.954,5.386,0.952,5.563,0.751,5.961
1765029465,0.933,5.409,0.948,5.581,0.75,5.961
1765042728,0.517,0.116,0.527,0.09,0.841,0.32
1765042728,0.504,0.07,0.522,0.083,0.841,0.32
1765042729,0.518,0.105,0.52,0.086,0.84,0.32
1765042729,0.532,0.127,0.523,0.095,0.842,0.321
1765042730,0.534,0.109,0.526,0.098,0.841,0.323
1765042730,0.743,-0.151,0.582,0.034,0.841,0.322
1765042731,0.559,-0.139,0.583,-0.018,0.841,0.325
1765042731,0.486,-0.116,0.563,-0.055,0.847,0.324
1765042731,0.385,-0.293,0.52,-0.13,0.843,0.339
1765042732,0.423,-0.11,0.493,-0.145,0.837,0.383
1765042732,0.476,0.211,0.483,-0.073,0.833,0.405
1765042733,0.507,0.287,0.484,0.011,0.822,0.46
1765042733,0.491,0.326,0.481,0.094,0.812,0.527
1765042733,0.488,0.418,0.479,0.188,0.795,0.605
1765042734,0.486,0.54,0.477,0.298,0.779,0.697
1765042734,0.538,0.635,0.489,0.414,0.762,0.811
1765042735,0.541,0.656,0.501,0.513,0.735,0.974
1765042735,0.518,0.69,0.505,0.602,0.714,1.084
1765042735,0.248,0.946,0.439,0.736,0.698,1.189
1765042736,0.498,0.891,0.448,0.83,0.679,1.299
1765042736,0.497,0.983,0.455,0.926,0.662,1.405
1765042737,0.505,1.12,0.465,1.035,0.642,1.534
1765042737,0.469,1.217,0.464,1.143,0.626,1.651
1765042738,0.345,1.383,0.432,1.27,0.603,1.773
1765042738,0.272,1.559,0.386,1.413,0.584,1.891
1765042738,0.285,1.601,0.351,1.536,0.563,2.008
1765042739,0.026,1.549,0.255,1.616,0.542,2.123
1765042739,0.257,1.798,0.235,1.738,0.523,2.246
1765042740,0.046,1.757,0.167,1.819,0.5,2.365
